Month,Numerator,Population,Jurisdiction,Estimate,Age_group_label,Legend,Child_or_adult
AUG,,,Massachusetts,,18-49 years,"2023-24, Massachusetts: 18-49 years",Adult
AUG,,,Massachusetts,,2-4 years,"2023-24, Massachusetts: 2-4 years",Child
AUG,,,Massachusetts,,5-8 years,"2023-24, Massachusetts: 5-8 years",Child
AUG,,,Massachusetts,,50-64 years,"2023-24, Massachusetts: 50-64 years",Adult
AUG,,,Massachusetts,,6 months to 17 years,"2023-24, Massachusetts: 6 months to 17 years",Child
AUG,,,Massachusetts,,6-23 months,"2023-24, Massachusetts: 6-23 months",Child
AUG,,,Massachusetts,,65+ years,"2023-24, Massachusetts: 65+ years",Adult
AUG,,,Massachusetts,,9-12 years,"2023-24, Massachusetts: 9-12 years",Child
AUG,,,Massachusetts,,Overall,"2023-24, Massachusetts: Overall",All
AUG,,,Nebraska,,13-17 years,"2023-24, Nebraska: 13-17 years",Child
AUG,,,Nebraska,,18+ years,"2023-24, Nebraska: 18+ years",Adult
AUG,,,Nebraska,,18-49 years,"2023-24, Nebraska: 18-49 years",Adult
AUG,,,Nebraska,,2-4 years,"2023-24, Nebraska: 2-4 years",Child
AUG,,,Nebraska,,5-8 years,"2023-24, Nebraska: 5-8 years",Child
AUG,,,Nebraska,,50-64 years,"2023-24, Nebraska: 50-64 years",Adult
AUG,,,Nebraska,,6 months to 17 years,"2023-24, Nebraska: 6 months to 17 years",Child
AUG,,,Nebraska,,6-23 months,"2023-24, Nebraska: 6-23 months",Child
AUG,,,Nebraska,,65+ years,"2023-24, Nebraska: 65+ years",Adult
AUG,,,Nebraska,,9-12 years,"2023-24, Nebraska: 9-12 years",Child
AUG,,,Nebraska,,Overall,"2023-24, Nebraska: Overall",All
AUG,,,New Hampshire,,13-17 years,"2023-24, New Hampshire: 13-17 years",Child
AUG,,,New Hampshire,,18+ years,"2023-24, New Hampshire: 18+ years",Adult
AUG,,,New Hampshire,,18-49 years,"2023-24, New Hampshire: 18-49 years",Adult
AUG,,,New Hampshire,,2-4 years,"2023-24, New Hampshire: 2-4 years",Child
AUG,,,New Hampshire,,5-8 years,"2023-24, New Hampshire: 5-8 years",Child
AUG,,,New Hampshire,,50-64 years,"2023-24, New Hampshire: 50-64 years",Adult
AUG,,,New Hampshire,,6 months to 17 years,"2023-24, New Hampshire: 6 months to 17 years",Child
AUG,,,New Hampshire,,6-23 months,"2023-24, New Hampshire: 6-23 months",Child
AUG,,,New Hampshire,,65+ years,"2023-24, New Hampshire: 65+ years",Adult
AUG,,,New Hampshire,,9-12 years,"2023-24, New Hampshire: 9-12 years",Child
AUG,,,New Hampshire,,Overall,"2023-24, New Hampshire: Overall",All
AUG,,,Rhode Island,,13-17 years,"2023-24, Rhode Island: 13-17 years",Child
AUG,,,Rhode Island,,18+ years,"2023-24, Rhode Island: 18+ years",Adult
AUG,,,Rhode Island,,18-49 years,"2023-24, Rhode Island: 18-49 years",Adult
AUG,,,Rhode Island,,2-4 years,"2023-24, Rhode Island: 2-4 years",Child
AUG,,,Rhode Island,,5-8 years,"2023-24, Rhode Island: 5-8 years",Child
AUG,,,Rhode Island,,50-64 years,"2023-24, Rhode Island: 50-64 years",Adult
AUG,,,Rhode Island,,6 months to 17 years,"2023-24, Rhode Island: 6 months to 17 years",Child
AUG,,,Rhode Island,,6-23 months,"2023-24, Rhode Island: 6-23 months",Child
AUG,,,Rhode Island,,65+ years,"2023-24, Rhode Island: 65+ years",Adult
AUG,,,Rhode Island,,9-12 years,"2023-24, Rhode Island: 9-12 years",Child
AUG,,,Rhode Island,,Overall,"2023-24, Rhode Island: Overall",All
AUG,,,South Carolina,,13-17 years,"2023-24, South Carolina: 13-17 years",Child
AUG,,,South Carolina,,18+ years,"2023-24, South Carolina: 18+ years",Adult
AUG,,,South Carolina,,18-49 years,"2023-24, South Carolina: 18-49 years",Adult
AUG,,,South Carolina,,2-4 years,"2023-24, South Carolina: 2-4 years",Child
AUG,,,South Carolina,,5-8 years,"2023-24, South Carolina: 5-8 years",Child
AUG,,,South Carolina,,50-64 years,"2023-24, South Carolina: 50-64 years",Adult
AUG,,,South Carolina,,6 months to 17 years,"2023-24, South Carolina: 6 months to 17 years",Child
AUG,,,South Carolina,,6-23 months,"2023-24, South Carolina: 6-23 months",Child
AUG,,,South Carolina,,65+ years,"2023-24, South Carolina: 65+ years",Adult
AUG,,,South Carolina,,9-12 years,"2023-24, South Carolina: 9-12 years",Child
AUG,,,South Carolina,,Overall,"2023-24, South Carolina: Overall",All
AUG,,,Virginia,,13-17 years,"2023-24, Virginia: 13-17 years",Child
AUG,,,Virginia,,18+ years,"2023-24, Virginia: 18+ years",Adult
AUG,,,Virginia,,18-49 years,"2023-24, Virginia: 18-49 years",Adult
AUG,,,Virginia,,2-4 years,"2023-24, Virginia: 2-4 years",Child
AUG,,,Virginia,,5-8 years,"2023-24, Virginia: 5-8 years",Child
AUG,,,Virginia,,50-64 years,"2023-24, Virginia: 50-64 years",Adult
AUG,,,Virginia,,6 months to 17 years,"2023-24, Virginia: 6 months to 17 years",Child
AUG,,,Virginia,,6-23 months,"2023-24, Virginia: 6-23 months",Child
AUG,,,Virginia,,65+ years,"2023-24, Virginia: 65+ years",Adult
AUG,,,Virginia,,9-12 years,"2023-24, Virginia: 9-12 years",Child
AUG,,,Virginia,,Overall,"2023-24, Virginia: Overall",All
AUG,0,355.5,Republic of Palau,0,6-23 months,"2023-24, Republic of Palau: 6-23 months",Child
AUG,0,684,Republic of Palau,0,2-4 years,"2023-24, Republic of Palau: 2-4 years",Child
AUG,0,928,Republic of Palau,0,5-8 years,"2023-24, Republic of Palau: 5-8 years",Child
AUG,0,1099,Republic of Palau,0,9-12 years,"2023-24, Republic of Palau: 9-12 years",Child
AUG,0,1139.5,N. Mariana Islands,0,6-23 months,"2023-24, N. Mariana Islands: 6-23 months",Child
AUG,0,1258.5,American Samoa,0,6-23 months,"2023-24, American Samoa: 6-23 months",Child
AUG,0,1763,Republic of Palau,0,13-17 years,"2023-24, Republic of Palau: 13-17 years",Child
AUG,0,1951,U.S. Virgin Islands ,0,6-23 months,"2023-24, U.S. Virgin Islands : 6-23 months",Child
AUG,0,1992,Republic of Palau,0,65+ years,"2023-24, Republic of Palau: 65+ years",Adult
AUG,0,2226,N. Mariana Islands,0,2-4 years,"2023-24, N. Mariana Islands: 2-4 years",Child
AUG,0,2593,Marshall Islands,0,6-23 months,"2023-24, Marshall Islands: 6-23 months",Child
AUG,0,2608,American Samoa,0,2-4 years,"2023-24, American Samoa: 2-4 years",Child
AUG,0,2844,Federated States of Micronesia,0,6-23 months,"2023-24, Federated States of Micronesia: 6-23 months",Child
AUG,0,3019,N. Mariana Islands,0,5-8 years,"2023-24, N. Mariana Islands: 5-8 years",Child
AUG,0,3278,American Samoa,0,65+ years,"2023-24, American Samoa: 65+ years",Adult
AUG,0,3481,American Samoa,0,5-8 years,"2023-24, American Samoa: 5-8 years",Child
AUG,0,3546,American Samoa,0,9-12 years,"2023-24, American Samoa: 9-12 years",Child
AUG,0,3732,Marshall Islands,0,65+ years,"2023-24, Marshall Islands: 65+ years",Adult
AUG,0,3754,N. Mariana Islands,0,65+ years,"2023-24, N. Mariana Islands: 65+ years",Adult
AUG,0,3916,N. Mariana Islands,0,9-12 years,"2023-24, N. Mariana Islands: 9-12 years",Child
AUG,0,4023,Republic of Palau,0,50-64 years,"2023-24, Republic of Palau: 50-64 years",Adult
AUG,0,4073,U.S. Virgin Islands ,0,2-4 years,"2023-24, U.S. Virgin Islands : 2-4 years",Child
AUG,0,4712,Guam,0,6-23 months,"2023-24, Guam: 6-23 months",Child
AUG,0,4748,American Samoa,0,13-17 years,"2023-24, American Samoa: 13-17 years",Child
AUG,0,4812,Federated States of Micronesia,0,65+ years,"2023-24, Federated States of Micronesia: 65+ years",Adult
AUG,0,4829.5,Republic of Palau,0,6 months to 17 years,"2023-24, Republic of Palau: 6 months to 17 years",Child
AUG,0,5080,Marshall Islands,0,2-4 years,"2023-24, Marshall Islands: 2-4 years",Child
AUG,0,5092,N. Mariana Islands,0,13-17 years,"2023-24, N. Mariana Islands: 13-17 years",Child
AUG,0,5553,U.S. Virgin Islands ,0,5-8 years,"2023-24, U.S. Virgin Islands : 5-8 years",Child
AUG,0,5706,Federated States of Micronesia,0,2-4 years,"2023-24, Federated States of Micronesia: 2-4 years",Child
AUG,0,6226,U.S. Virgin Islands ,0,9-12 years,"2023-24, U.S. Virgin Islands : 9-12 years",Child
AUG,0,6338,U.S. Virgin Islands ,0,13-17 years,"2023-24, U.S. Virgin Islands : 13-17 years",Child
AUG,0,6738,Marshall Islands,0,5-8 years,"2023-24, Marshall Islands: 5-8 years",Child
AUG,0,6780,Marshall Islands,0,9-12 years,"2023-24, Marshall Islands: 9-12 years",Child
AUG,0,7639,American Samoa,0,50-64 years,"2023-24, American Samoa: 50-64 years",Adult
AUG,0,7700,Marshall Islands,0,50-64 years,"2023-24, Marshall Islands: 50-64 years",Adult
AUG,0,7726,Federated States of Micronesia,0,5-8 years,"2023-24, Federated States of Micronesia: 5-8 years",Child
AUG,0,7989,Federated States of Micronesia,0,9-12 years,"2023-24, Federated States of Micronesia: 9-12 years",Child
AUG,0,8151,Marshall Islands,0,13-17 years,"2023-24, Marshall Islands: 13-17 years",Child
AUG,0,8232,Vermont,0,6-23 months,"2023-24, Vermont: 6-23 months",Child
AUG,0,9444,Guam,0,2-4 years,"2023-24, Guam: 2-4 years",Child
AUG,0,9510.5,Wyoming,0,6-23 months,"2023-24, Wyoming: 6-23 months",Child
AUG,0,10382,Federated States of Micronesia,0,13-17 years,"2023-24, Federated States of Micronesia: 13-17 years",Child
AUG,0,10568,Republic of Palau,0,18-49 years,"2023-24, Republic of Palau: 18-49 years",Adult
AUG,0,11986,Guam,0,9-12 years,"2023-24, Guam: 9-12 years",Child
AUG,0,12020,N. Mariana Islands,0,50-64 years,"2023-24, N. Mariana Islands: 50-64 years",Adult
AUG,0,12246,Federated States of Micronesia,0,50-64 years,"2023-24, Federated States of Micronesia: 50-64 years",Adult
AUG,0,12460,Guam,0,5-8 years,"2023-24, Guam: 5-8 years",Child
AUG,0,13527.5,District of Columbia,0,6-23 months,"2023-24, District of Columbia: 6-23 months",Child
AUG,0,13771,Guam,0,13-17 years,"2023-24, Guam: 13-17 years",Child
AUG,0,14422,Alaska,0,6-23 months,"2023-24, Alaska: 6-23 months",Child
AUG,0,15392.5,N. Mariana Islands,0,6 months to 17 years,"2023-24, N. Mariana Islands: 6 months to 17 years",Child
AUG,0,15564.5,North Dakota,0,6-23 months,"2023-24, North Dakota: 6-23 months",Child
AUG,0,15641.5,American Samoa,0,6 months to 17 years,"2023-24, American Samoa: 6 months to 17 years",Child
AUG,0,16061,Guam,0,65+ years,"2023-24, Guam: 65+ years",Adult
AUG,0,16583,Republic of Palau,0,18+ years,"2023-24, Republic of Palau: 18+ years",Adult
AUG,0,17119.5,Montana,0,6-23 months,"2023-24, Montana: 6-23 months",Child
AUG,0,17361,Vermont,0,2-4 years,"2023-24, Vermont: 2-4 years",Child
AUG,0,18790,Maine,0,6-23 months,"2023-24, Maine: 6-23 months",Child
AUG,0,20301,N. Mariana Islands,0,18-49 years,"2023-24, N. Mariana Islands: 18-49 years",Adult
AUG,0,20418,American Samoa,0,18-49 years,"2023-24, American Samoa: 18-49 years",Adult
AUG,0,20478,U.S. Virgin Islands ,0,65+ years,"2023-24, U.S. Virgin Islands : 65+ years",Adult
AUG,0,21113,Wyoming,0,2-4 years,"2023-24, Wyoming: 2-4 years",Child
AUG,0,21412.5,Republic of Palau,0,Overall,"2023-24, Republic of Palau: Overall",All
AUG,0,22448,U.S. Virgin Islands ,0,50-64 years,"2023-24, U.S. Virgin Islands : 50-64 years",Adult
AUG,0,24141,U.S. Virgin Islands ,0,6 months to 17 years,"2023-24, U.S. Virgin Islands : 6 months to 17 years",Child
AUG,0,24550,Hawaii,0,6-23 months,"2023-24, Hawaii: 6-23 months",Child
AUG,0,24859,Vermont,0,5-8 years,"2023-24, Vermont: 5-8 years",Child
AUG,0,25620,Vermont,0,9-12 years,"2023-24, Vermont: 9-12 years",Child
AUG,0,26358,District of Columbia,0,9-12 years,"2023-24, District of Columbia: 9-12 years",Child
AUG,0,26572.5,West Virginia,0,6-23 months,"2023-24, West Virginia: 6-23 months",Child
AUG,0,26925,District of Columbia,0,13-17 years,"2023-24, District of Columbia: 13-17 years",Child
AUG,0,27742,Guam,0,50-64 years,"2023-24, Guam: 50-64 years",Adult
AUG,0,29342,Marshall Islands,0,6 months to 17 years,"2023-24, Marshall Islands: 6 months to 17 years",Child
AUG,0,29524,Wyoming,0,5-8 years,"2023-24, Wyoming: 5-8 years",Child
AUG,0,30010.5,Philadelphia,0,6-23 months,"2023-24, Philadelphia: 6-23 months",Child
AUG,0,30474,Alaska,0,2-4 years,"2023-24, Alaska: 2-4 years",Child
AUG,0,31095,Wyoming,0,9-12 years,"2023-24, Wyoming: 9-12 years",Child
AUG,0,31335,American Samoa,0,18+ years,"2023-24, American Samoa: 18+ years",Adult
AUG,0,32005,District of Columbia,0,5-8 years,"2023-24, District of Columbia: 5-8 years",Child
AUG,0,32285,North Dakota,0,2-4 years,"2023-24, North Dakota: 2-4 years",Child
AUG,0,33304,Delaware,0,2-4 years,"2023-24, Delaware: 2-4 years",Child
AUG,0,34429,Vermont,0,13-17 years,"2023-24, Vermont: 13-17 years",Child
AUG,0,34647,Federated States of Micronesia,0,6 months to 17 years,"2023-24, Federated States of Micronesia: 6 months to 17 years",Child
AUG,0,36075,N. Mariana Islands,0,18+ years,"2023-24, N. Mariana Islands: 18+ years",Adult
AUG,0,36097,Marshall Islands,0,18-49 years,"2023-24, Marshall Islands: 18-49 years",Adult
AUG,0,37112,Montana,0,2-4 years,"2023-24, Montana: 2-4 years",Child
AUG,0,37396.5,Puerto Rico,0,6-23 months,"2023-24, Puerto Rico: 6-23 months",Child
AUG,0,38454,Maine,0,2-4 years,"2023-24, Maine: 2-4 years",Child
AUG,0,38581,U.S. Virgin Islands ,0,18-49 years,"2023-24, U.S. Virgin Islands : 18-49 years",Adult
AUG,0,38687,Wyoming,0,13-17 years,"2023-24, Wyoming: 13-17 years",Child
AUG,0,39611,North Dakota,0,9-12 years,"2023-24, North Dakota: 9-12 years",Child
AUG,0,40264,Alaska,0,9-12 years,"2023-24, Alaska: 9-12 years",Child
AUG,0,41226,Alaska,0,5-8 years,"2023-24, Alaska: 5-8 years",Child
AUG,0,42112,North Dakota,0,5-8 years,"2023-24, North Dakota: 5-8 years",Child
AUG,0,45161,Delaware,0,5-8 years,"2023-24, Delaware: 5-8 years",Child
AUG,0,46331,Delaware,0,9-12 years,"2023-24, Delaware: 9-12 years",Child
AUG,0,46827,North Dakota,0,13-17 years,"2023-24, North Dakota: 13-17 years",Child
AUG,0,46976.5,American Samoa,0,Overall,"2023-24, American Samoa: Overall",All
AUG,0,47492,Alaska,0,13-17 years,"2023-24, Alaska: 13-17 years",Child
AUG,0,47529,Marshall Islands,0,18+ years,"2023-24, Marshall Islands: 18+ years",Adult
AUG,0,48907,South Dakota,0,9-12 years,"2023-24, South Dakota: 9-12 years",Child
AUG,0,49666,Federated States of Micronesia,0,18-49 years,"2023-24, Federated States of Micronesia: 18-49 years",Adult
AUG,0,51368,Hawaii,0,2-4 years,"2023-24, Hawaii: 2-4 years",Child
AUG,0,51467.5,N. Mariana Islands,0,Overall,"2023-24, N. Mariana Islands: Overall",All
AUG,0,51927,Montana,0,5-8 years,"2023-24, Montana: 5-8 years",Child
AUG,0,52209,Connecticut,0,6-23 months,"2023-24, Connecticut: 6-23 months",Child
AUG,0,52303,Montana,0,9-12 years,"2023-24, Montana: 9-12 years",Child
AUG,0,52373,Guam,0,6 months to 17 years,"2023-24, Guam: 6 months to 17 years",Child
AUG,0,53615.5,Mississippi,0,6-23 months,"2023-24, Mississippi: 6-23 months",Child
AUG,0,53773,Maine,0,5-8 years,"2023-24, Maine: 5-8 years",Child
AUG,0,54115,Nevada,0,6-23 months,"2023-24, Nevada: 6-23 months",Child
AUG,0,54432.5,Arkansas,0,6-23 months,"2023-24, Arkansas: 6-23 months",Child
AUG,0,55856,West Virginia,0,2-4 years,"2023-24, West Virginia: 2-4 years",Child
AUG,0,55916,Iowa,0,6-23 months,"2023-24, Iowa: 6-23 months",Child
AUG,0,55949,Maine,0,9-12 years,"2023-24, Maine: 9-12 years",Child
AUG,0,59557,Philadelphia,0,2-4 years,"2023-24, Philadelphia: 2-4 years",Child
AUG,0,59835,South Dakota,0,13-17 years,"2023-24, South Dakota: 13-17 years",Child
AUG,0,65309,Hawaii,0,9-12 years,"2023-24, Hawaii: 9-12 years",Child
AUG,0,65539,Montana,0,13-17 years,"2023-24, Montana: 13-17 years",Child
AUG,0,66724,Federated States of Micronesia,0,18+ years,"2023-24, Federated States of Micronesia: 18+ years",Adult
AUG,0,70041,Hawaii,0,5-8 years,"2023-24, Hawaii: 5-8 years",Child
AUG,0,70741,Guam,0,18-49 years,"2023-24, Guam: 18-49 years",Adult
AUG,0,72986,New Mexico,0,2-4 years,"2023-24, New Mexico: 2-4 years",Child
AUG,0,73520,Philadelphia,0,9-12 years,"2023-24, Philadelphia: 9-12 years",Child
AUG,0,73805.5,Oklahoma,0,6-23 months,"2023-24, Oklahoma: 6-23 months",Child
AUG,0,74811,Puerto Rico,0,2-4 years,"2023-24, Puerto Rico: 2-4 years",Child
AUG,0,75066,Maine,0,13-17 years,"2023-24, Maine: 13-17 years",Child
AUG,0,76428,Hawaii,0,13-17 years,"2023-24, Hawaii: 13-17 years",Child
AUG,0,76871,Marshall Islands,0,Overall,"2023-24, Marshall Islands: Overall",All
AUG,0,78981,Philadelphia,0,5-8 years,"2023-24, Philadelphia: 5-8 years",Child
AUG,0,79533.5,Kentucky,0,6-23 months,"2023-24, Kentucky: 6-23 months",Child
AUG,0,79949,West Virginia,0,5-8 years,"2023-24, West Virginia: 5-8 years",Child
AUG,0,80919,West Virginia,0,9-12 years,"2023-24, West Virginia: 9-12 years",Child
AUG,0,81507,U.S. Virgin Islands ,0,18+ years,"2023-24, U.S. Virgin Islands : 18+ years",Adult
AUG,0,85458,Alabama,0,6-23 months,"2023-24, Alabama: 6-23 months",Child
AUG,0,86184,Louisiana,0,6-23 months,"2023-24, Louisiana: 6-23 months",Child
AUG,0,89833,District of Columbia,0,65+ years,"2023-24, District of Columbia: 65+ years",Adult
AUG,0,95451.5,Wisconsin,0,6-23 months,"2023-24, Wisconsin: 6-23 months",Child
AUG,0,95876,Alaska,0,65+ years,"2023-24, Alaska: 65+ years",Adult
AUG,0,100594,Minnesota,0,6-23 months,"2023-24, Minnesota: 6-23 months",Child
AUG,0,101371,Federated States of Micronesia,0,Overall,"2023-24, Federated States of Micronesia: Overall",All
AUG,0,103776,Wyoming,0,65+ years,"2023-24, Wyoming: 65+ years",Adult
AUG,0,104247,West Virginia,0,13-17 years,"2023-24, West Virginia: 13-17 years",Child
AUG,0,105409,District of Columbia,0,50-64 years,"2023-24, District of Columbia: 50-64 years",Adult
AUG,0,105648,U.S. Virgin Islands ,0,Overall,"2023-24, U.S. Virgin Islands : Overall",All
AUG,0,108898,Wyoming,0,50-64 years,"2023-24, Wyoming: 50-64 years",Adult
AUG,0,110266,Connecticut,0,2-4 years,"2023-24, Connecticut: 2-4 years",Child
AUG,0,110338,Mississippi,0,2-4 years,"2023-24, Mississippi: 2-4 years",Child
AUG,0,110501,Vermont,0,6 months to 17 years,"2023-24, Vermont: 6 months to 17 years",Child
AUG,0,112689,Nevada,0,2-4 years,"2023-24, Nevada: 2-4 years",Child
AUG,0,114544,Guam,0,18+ years,"2023-24, Guam: 18+ years",Adult
AUG,0,118083,Puerto Rico,0,5-8 years,"2023-24, Puerto Rico: 5-8 years",Child
AUG,0,118179,Iowa,0,2-4 years,"2023-24, Iowa: 2-4 years",Child
AUG,0,123141,North Dakota,0,65+ years,"2023-24, North Dakota: 65+ years",Adult
AUG,0,129929.5,Wyoming,0,6 months to 17 years,"2023-24, Wyoming: 6 months to 17 years",Child
AUG,0,130824,North Dakota,0,50-64 years,"2023-24, North Dakota: 50-64 years",Adult
AUG,0,133652,Vermont,0,50-64 years,"2023-24, Vermont: 50-64 years",Adult
AUG,0,133827,Alaska,0,50-64 years,"2023-24, Alaska: 50-64 years",Adult
AUG,0,147011,Utah,0,2-4 years,"2023-24, Utah: 2-4 years",Child
AUG,0,149649,Mississippi,0,5-8 years,"2023-24, Mississippi: 5-8 years",Child
AUG,0,155850,New York City,0,6-23 months,"2023-24, New York City: 6-23 months",Child
AUG,0,157912,Mississippi,0,9-12 years,"2023-24, Mississippi: 9-12 years",Child
AUG,0,159658,Nevada,0,9-12 years,"2023-24, Nevada: 9-12 years",Child
AUG,0,161075,Iowa,0,5-8 years,"2023-24, Iowa: 5-8 years",Child
AUG,0,163198.5,Michigan,0,6-23 months,"2023-24, Michigan: 6-23 months",Child
AUG,0,163419,Connecticut,0,9-12 years,"2023-24, Connecticut: 9-12 years",Child
AUG,0,163445,Iowa,0,9-12 years,"2023-24, Iowa: 9-12 years",Child
AUG,0,164299,Kentucky,0,2-4 years,"2023-24, Kentucky: 2-4 years",Child
AUG,0,166917,Guam,0,Overall,"2023-24, Guam: Overall",All
AUG,0,173878,Alaska,0,6 months to 17 years,"2023-24, Alaska: 6 months to 17 years",Child
AUG,0,176399.5,North Dakota,0,6 months to 17 years,"2023-24, North Dakota: 6 months to 17 years",Child
AUG,0,178339,Alabama,0,2-4 years,"2023-24, Alabama: 2-4 years",Child
AUG,0,178554.5,North Carolina,0,6-23 months,"2023-24, North Carolina: 6-23 months",Child
AUG,0,197594,Delaware,0,65+ years,"2023-24, Delaware: 65+ years",Adult
AUG,0,198053,Nevada,0,13-17 years,"2023-24, Nevada: 13-17 years",Child
AUG,0,199448,Wisconsin,0,2-4 years,"2023-24, Wisconsin: 2-4 years",Child
AUG,0,200231,Ohio,0,6-23 months,"2023-24, Ohio: 6-23 months",Child
AUG,0,205956,Utah,0,5-8 years,"2023-24, Utah: 5-8 years",Child
AUG,0,207146,Montana,0,50-64 years,"2023-24, Montana: 50-64 years",Adult
AUG,0,208457,Iowa,0,13-17 years,"2023-24, Iowa: 13-17 years",Child
AUG,0,212202,Minnesota,0,2-4 years,"2023-24, Minnesota: 2-4 years",Child
AUG,0,213392,Montana,0,65+ years,"2023-24, Montana: 65+ years",Adult
AUG,0,222571,Kentucky,0,5-8 years,"2023-24, Kentucky: 5-8 years",Child
AUG,0,224000.5,Montana,0,6 months to 17 years,"2023-24, Montana: 6 months to 17 years",Child
AUG,0,236563,Wyoming,0,18-49 years,"2023-24, Wyoming: 18-49 years",Adult
AUG,0,239102,Alabama,0,5-8 years,"2023-24, Alabama: 5-8 years",Child
AUG,0,242032,Maine,0,6 months to 17 years,"2023-24, Maine: 6 months to 17 years",Child
AUG,0,245322,Alabama,0,9-12 years,"2023-24, Alabama: 9-12 years",Child
AUG,0,247042,Tennessee,0,2-4 years,"2023-24, Tennessee: 2-4 years",Child
AUG,0,247935,Vermont,0,18-49 years,"2023-24, Vermont: 18-49 years",Adult
AUG,0,260200,Hawaii,0,50-64 years,"2023-24, Hawaii: 50-64 years",Adult
AUG,0,260352,Arizona,0,2-4 years,"2023-24, Arizona: 2-4 years",Child
AUG,0,268724,Oklahoma,0,13-17 years,"2023-24, Oklahoma: 13-17 years",Child
AUG,0,270072,Philadelphia,0,50-64 years,"2023-24, Philadelphia: 50-64 years",Adult
AUG,0,274405,Colorado,0,5-8 years,"2023-24, Colorado: 5-8 years",Child
AUG,0,275080,Hawaii,0,65+ years,"2023-24, Hawaii: 65+ years",Adult
AUG,0,285438,Colorado,0,9-12 years,"2023-24, Colorado: 9-12 years",Child
AUG,0,286356,Wisconsin,0,9-12 years,"2023-24, Wisconsin: 9-12 years",Child
AUG,0,287696,Hawaii,0,6 months to 17 years,"2023-24, Hawaii: 6 months to 17 years",Child
AUG,0,291284,Minnesota,0,5-8 years,"2023-24, Minnesota: 5-8 years",Child
AUG,0,292636,Minnesota,0,9-12 years,"2023-24, Minnesota: 9-12 years",Child
AUG,0,293776,Maine,0,65+ years,"2023-24, Maine: 65+ years",Adult
AUG,0,300529,Maine,0,50-64 years,"2023-24, Maine: 50-64 years",Adult
AUG,0,302005,New York City,0,2-4 years,"2023-24, New York City: 2-4 years",Child
AUG,0,310939,Alabama,0,13-17 years,"2023-24, Alabama: 13-17 years",Child
AUG,0,322724,Alaska,0,18-49 years,"2023-24, Alaska: 18-49 years",Adult
AUG,0,329715,North Dakota,0,18-49 years,"2023-24, North Dakota: 18-49 years",Adult
AUG,0,332603,Florida,0,6-23 months,"2023-24, Florida: 6-23 months",Child
AUG,0,342016,Michigan,0,2-4 years,"2023-24, Michigan: 2-4 years",Child
AUG,0,347543.5,West Virginia,0,6 months to 17 years,"2023-24, West Virginia: 6 months to 17 years",Child
