Vaccine,Geographic Level,Geographic Name,Demographic_Level,Demographic Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted Sample Size,suppression_flag
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.0933,1.7242,2812,0
COVID,State,New Jersey,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0933,1.7242,2812,0
COVID,State,New Mexico,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.4493,19.4239,85,0
COVID,State,New Mexico,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.1524,14.9027,85,0
COVID,State,New Mexico,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.2766,18.1247,85,0
COVID,State,New Mexico,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.1218,2.1612,3633,0
COVID,State,New Mexico,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.1218,2.1612,3633,0
COVID,State,New York,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.4506,12.2014,123,0
COVID,State,New York,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.1495,9.8202,123,0
COVID,State,New York,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.2912,10.3138,123,0
COVID,State,New York,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.1087,1.3828,4428,0
COVID,State,New York,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.1087,1.3828,4428,0
COVID,State,North Carolina,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.3168,15.7059,56,0
COVID,State,North Carolina,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.2472,16.3563,56,0
COVID,State,North Carolina,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.3478,17.5538,56,0
COVID,State,North Carolina,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.0882,1.7867,2632,0
COVID,State,North Carolina,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0882,1.7867,2632,0
COVID,State,North Dakota,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.6137,24.1344,32,0
COVID,State,North Dakota,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.1623,22.722,32,0
COVID,State,North Dakota,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.1473,15.2405,32,0
COVID,State,North Dakota,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.0767,1.9294,1516,0
COVID,State,North Dakota,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0767,1.9294,1516,0
COVID,State,Ohio,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.4353,15.8847,52,0
COVID,State,Ohio,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.1963,13.3014,52,0
COVID,State,Ohio,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.2818,14.7088,52,0
COVID,State,Ohio,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.0866,1.7003,2128,0
COVID,State,Ohio,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0866,1.7003,2128,0
COVID,State,Oklahoma,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.6103,16.5889,76,0
COVID,State,Oklahoma,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.1241,9.7994,76,0
COVID,State,Oklahoma,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.2103,13.4505,76,0
COVID,State,Oklahoma,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.0553,1.2931,2441,0
COVID,State,Oklahoma,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0553,1.2931,2441,0
COVID,State,Oregon,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.203,13.8249,42,0
COVID,State,Oregon,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.3455,27.217,42,0
COVID,State,Oregon,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.2956,19.6984,42,0
COVID,State,Oregon,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.1559,2.2499,2048,0
COVID,State,Oregon,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.1559,2.2499,2048,0
COVID,State,Pennsylvania,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.4236,11.048,117,0
COVID,State,Pennsylvania,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.1066,7.1311,117,0
COVID,State,Pennsylvania,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.3557,10.8427,117,0
COVID,State,Pennsylvania,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.114,1.4081,4850,0
COVID,State,Pennsylvania,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.114,1.4081,4850,0
COVID,State,Puerto Rico,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.2446,19.4554,40,0
COVID,State,Puerto Rico,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.0954,9.8447,40,0
COVID,State,Puerto Rico,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.6183,21.094,40,0
COVID,State,Puerto Rico,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.0417,1.1072,2559,0
COVID,State,Puerto Rico,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0417,1.1072,2559,0
COVID,State,Rhode Island,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.3545,23.0459,38,0
COVID,State,Rhode Island,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.0607,7.0526,38,0
COVID,State,Rhode Island,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.4316,27.6023,38,0
COVID,State,Rhode Island,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.1532,3.2334,1564,0
COVID,State,Rhode Island,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.1532,3.2334,1564,0
COVID,State,South Carolina,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,,,23,1
COVID,State,South Carolina,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,,,23,1
COVID,State,South Carolina,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,,,23,1
COVID,State,South Carolina,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,,,2651,1
COVID,State,South Carolina,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0594,1.3076,2651,0
COVID,State,South Dakota,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,,,26,1
COVID,State,South Dakota,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,,,26,1
COVID,State,South Dakota,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,,,26,1
COVID,State,South Dakota,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,,,1641,1
COVID,State,South Dakota,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.073,2.0136,1641,0
COVID,State,Tennessee,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.4161,23.0367,35,0
COVID,State,Tennessee,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.2076,22.0711,35,0
COVID,State,Tennessee,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.3138,24.906,35,0
COVID,State,Tennessee,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.0626,1.6923,1583,0
COVID,State,Tennessee,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0626,1.6923,1583,0
COVID,State,Texas,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.4107,11.0591,152,0
COVID,State,Texas,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.1176,6.7416,152,0
COVID,State,Texas,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.3962,10.7058,152,0
COVID,State,Texas,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.0755,0.8597,8136,0
COVID,State,Texas,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0755,0.8597,8136,0
COVID,State,Utah,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,,,21,1
COVID,State,Utah,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,,,21,1
COVID,State,Utah,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,,,21,1
COVID,State,Utah,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,,,1295,1
COVID,State,Utah,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.108,2.2176,1295,0
COVID,State,Vermont,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.1104,10.9379,50,0
COVID,State,Vermont,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.2828,32.6481,50,0
COVID,State,Vermont,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.3765,30.0539,50,0
COVID,State,Vermont,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.2303,4.4683,1239,0
COVID,State,Vermont,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.2303,4.4683,1239,0
COVID,State,U.S. Virgin Islands,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,,,7,1
COVID,State,U.S. Virgin Islands,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,,,7,1
COVID,State,U.S. Virgin Islands,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,,,7,1
COVID,State,U.S. Virgin Islands,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,,,170,1
COVID,State,U.S. Virgin Islands,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0,0,170,0
COVID,State,Virginia,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.4292,10.5769,167,0
COVID,State,Virginia,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.1879,8.7085,167,0
COVID,State,Virginia,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.2671,8.9414,167,0
COVID,State,Virginia,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.1158,1.5029,3802,0
COVID,State,Virginia,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.1158,1.5029,3802,0
COVID,State,Washington,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.12,11.9504,35,0
COVID,State,Washington,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.2432,18.6395,35,0
COVID,State,Washington,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.4778,24.675,35,0
COVID,State,Washington,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.159,2.3549,1928,0
COVID,State,Washington,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.159,2.3549,1928,0
COVID,State,West Virginia,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,,,20,1
COVID,State,West Virginia,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,,,20,1
COVID,State,West Virginia,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,,,20,1
COVID,State,West Virginia,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,,,2571,1
COVID,State,West Virginia,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.0611,1.307,2571,0
COVID,State,Wisconsin,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.3953,29.0915,30,0
COVID,State,Wisconsin,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.0479,6.6326,30,0
COVID,State,Wisconsin,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.4421,25.4642,30,0
COVID,State,Wisconsin,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.1147,2.3408,1535,0
COVID,State,Wisconsin,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.1147,2.3408,1535,0
COVID,State,Wyoming,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2023-12-02,0.3462,31.754,32,0
COVID,State,Wyoming,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2023-12-02,0.0531,6.4705,32,0
COVID,State,Wyoming,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2023-12-02,0.5187,40.47,32,0
COVID,State,Wyoming,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2023-12-02,0.082,2.0317,2166,0
COVID,State,Wyoming,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2023-12-02,0.082,2.0317,2166,0
COVID,National,National,Age,12-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2023-12-09,0.2989,6.3815,479,0
COVID,National,National,Age,12-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2023-12-09,0.2254,6.1889,479,0
COVID,National,National,Age,12-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2023-12-09,0.3446,7.1503,479,0
COVID,National,National,Age,12-17 years,4-level vaccination and intent,Vaccinated,December Week 2,2023-12-09,0.1312,0.7685,36852,0
COVID,National,National,Age,12-17 years,Up-to-date,Yes,December Week 2,2023-12-09,0.1312,0.7685,36852,0
COVID,National,National,Age,5-11 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2023-12-09,0.422,4.5302,1312,0
COVID,National,National,Age,5-11 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2023-12-09,0.1445,3.1201,1312,0
COVID,National,National,Age,5-11 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2023-12-09,0.3269,4.5749,1312,0
COVID,National,National,Age,5-11 years,4-level vaccination and intent,Vaccinated,December Week 2,2023-12-09,0.1066,0.489,47320,0
COVID,National,National,Age,5-11 years,Up-to-date,Yes,December Week 2,2023-12-09,0.1066,0.489,47320,0
COVID,National,National,Age,5-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2023-12-09,0.3647,3.8867,1791,0
COVID,National,National,Health Insurance,Uninsured,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2023-12-09,0.4073,14.6189,125,0
COVID,National,National,Health Insurance,Uninsured,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2023-12-09,0.1712,10.6787,125,0
COVID,National,National,Health Insurance,Uninsured,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2023-12-09,0.3526,14.8711,125,0
COVID,National,National,Health Insurance,Uninsured,4-level vaccination and intent,Vaccinated,December Week 2,2023-12-09,0.0688,4.3646,1520,0
COVID,National,National,Health Insurance,Uninsured,Up-to-date,Yes,December Week 2,2023-12-09,0.0688,4.3646,1520,0
COVID,National,National,Mother's Education,>= College degree,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2023-12-09,0.3095,4.6696,1396,0
COVID,National,National,Mother's Education,>= College degree,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2023-12-09,0.2324,4.8074,1396,0
COVID,National,National,Mother's Education,>= College degree,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2023-12-09,0.3056,5.1289,1396,0
COVID,National,National,Mother's Education,>= College degree,4-level vaccination and intent,Vaccinated,December Week 2,2023-12-09,0.1525,0.685,60450,0
COVID,National,National,Mother's Education,>= College degree,Up-to-date,Yes,December Week 2,2023-12-09,0.1525,0.685,60450,0
COVID,National,National,Mother's Education,High school or equivalent,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2023-12-09,0.5291,8.2089,424,0
COVID,National,National,Mother's Education,High school or equivalent,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2023-12-09,0.1134,4.585,424,0
COVID,National,National,Mother's Education,High school or equivalent,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2023-12-09,0.3073,8.1329,424,0
COVID,National,National,Mother's Education,High school or equivalent,4-level vaccination and intent,Vaccinated,December Week 2,2023-12-09,0.0502,0.5425,21104,0
COVID,National,National,Mother's Education,High school or equivalent,Up-to-date,Yes,December Week 2,2023-12-09,0.0502,0.5425,21104,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2023-12-09,0.2528,9.4852,128,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2023-12-09,0.2412,11.5634,128,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2023-12-09,0.4313,11.7374,128,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Vaccinated,December Week 2,2023-12-09,0.0748,1.0396,8365,0
COVID,National,National,Mother's Education,Less than high school,Up-to-date,Yes,December Week 2,2023-12-09,0.0748,1.0396,8365,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2023-12-09,0.4893,6.5183,590,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2023-12-09,0.1391,4.2753,590,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2023-12-09,0.3177,6.2534,590,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Vaccinated,December Week 2,2023-12-09,0.0539,0.4881,27011,0
COVID,National,National,Mother's Education,Some college,Up-to-date,Yes,December Week 2,2023-12-09,0.0539,0.4881,27011,0
COVID,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2023-12-09,0.399,3.3356,2576,0
COVID,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2023-12-09,0.1786,2.7515,2576,0
COVID,National,National,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2023-12-09,0.3204,3.3756,2576,0
COVID,National,National,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,2023-12-09,0.102,0.3915,123101,0
COVID,National,National,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,2023-12-09,0.102,0.3915,123101,0
COVID,National,National,Poverty Status,"Above Poverty, Income < $75k",4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2023-12-09,0.4315,6.7338,551,0
COVID,National,National,Poverty Status,"Above Poverty, Income < $75k",4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2023-12-09,0.1451,5.2283,551,0
