Season,Strata,Age Category,Race/Ethnicity,Sex,COVID,ICU,Medical Condition,Mechanical Ventilation,Death,Time Period,Time,Estimate Type,Estimate
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/03/2020,Counts,8
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/08/2021,Counts,345
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/26/2020,Counts,107
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/30/2021,Counts,2026
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/17/2021,Counts,378
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/09/2021,Counts,61
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/19/2020,Counts,115
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/20/2021,Counts,409
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/28/2021,Counts,130
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/26/2021,Counts,283
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/04/2021,Counts,13
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/28/2020,Counts,1023
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/31/2021,Counts,848
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/23/2021,Counts,1391
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/24/2021,Counts,573
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/15/2021,Counts,65
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/19/2021,Counts,154
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/06/2021,Counts,186
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/03/2021,Counts,28
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/12/2020,Counts,115
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/29/2021,Counts,207
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/25/2021,Counts,12
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/10/2021,Counts,8
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/21/2021,Counts,1217
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/11/2021,Counts,1075
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/24/2021,Counts,142
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/17/2021,Counts,11
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/02/2021,Counts,37
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/10/2021,Counts,1006
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/05/2020,Counts,26
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/01/2021,Counts,401
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/17/2020,Counts,67
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/07/2020,Counts,204
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/05/2021,Counts,34
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/06/2021,Counts,79
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/02/2021,Counts,1503
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/31/2020,Counts,693
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/13/2021,Counts,1356
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/12/2021,Counts,39
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/24/2020,Counts,36
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/21/2020,Counts,3066
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/07/2021,Counts,18
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/10/2020,Counts,840
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/22/2021,Counts,10
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/14/2020,Counts,1016
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/27/2021,Counts,354
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/27/2021,Counts,4
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/16/2021,Counts,101
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/13/2021,Counts,82
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/03/2021,Counts,15
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/18/2021,Counts,841
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/14/2021,Counts,1097
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/20/2021,Counts,12
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/03/2020,Counts,17
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/08/2021,Counts,1133
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/26/2020,Counts,871
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/30/2021,Counts,170
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/17/2021,Counts,1656
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/09/2021,Counts,123
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/19/2020,Counts,936
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/20/2021,Counts,1146
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/28/2021,Counts,14
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/26/2021,Counts,13
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/04/2021,Counts,33
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/28/2020,Counts,3188
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/31/2021,Counts,120
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/23/2021,Counts,298
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/24/2021,Counts,74
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/15/2021,Counts,548
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/19/2021,Counts,27
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/06/2021,Counts,18
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/03/2021,Counts,4
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/12/2020,Counts,1108
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/29/2021,Counts,550
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/25/2021,Counts,37
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/10/2021,Counts,152
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/21/2021,Counts,111
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/11/2021,Counts,118
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/24/2021,Counts,15
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/17/2021,Counts,148
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/02/2021,Counts,363
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/10/2021,Counts,148
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/05/2020,Counts,123
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/01/2021,Counts,1180
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/17/2020,Counts,421
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/07/2020,Counts,13
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/05/2021,Counts,4
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/06/2021,Counts,586
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/02/2021,Counts,287
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/31/2020,Counts,1422
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/13/2021,Counts,108
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/12/2021,Counts,6
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/24/2020,Counts,551
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/21/2020,Counts,237
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/07/2021,Counts,385
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/10/2020,Counts,64
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/22/2021,Counts,33
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/14/2020,Counts,220
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/27/2021,Counts,1053
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/27/2021,Counts,15
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/16/2021,Counts,959
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/13/2021,Counts,607
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/03/2021,Counts,340
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/18/2021,Counts,90
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/14/2021,Counts,99
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/20/2021,Counts,15
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/03/2020,Counts,333
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/08/2021,Counts,78
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/26/2020,Counts,3179
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/30/2021,Counts,1169
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/17/2021,Counts,79
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/09/2021,Counts,1006
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/19/2020,Counts,3139
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/20/2021,Counts,112
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/28/2021,Counts,45
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/26/2021,Counts,162
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/04/2021,Counts,558
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/28/2020,Counts,286
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/31/2021,Counts,703
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/23/2021,Counts,22
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/24/2021,Counts,459
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/15/2021,Counts,63
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/19/2021,Counts,4
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/06/2021,Counts,41
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/03/2021,Counts,11
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/12/2020,Counts,3240
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/29/2021,Counts,44
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/25/2021,Counts,391
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/10/2021,Counts,322
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/21/2021,Counts,12
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/11/2021,Counts,21
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/24/2021,Counts,25
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/17/2021,Counts,396
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/02/2021,Counts,1635
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/10/2021,Counts,11
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/05/2020,Counts,1060
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/01/2021,Counts,96
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/17/2020,Counts,100
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/07/2020,Counts,71
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/05/2021,Counts,19
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/06/2021,Counts,90
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/02/2021,Counts,35
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/31/2020,Counts,103
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/13/2021,Counts,787
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/12/2021,Counts,12
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/24/2020,Counts,1120
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/21/2020,Counts,1076
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/07/2021,Counts,1185
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/10/2020,Counts,380
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/22/2021,Counts,268
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/14/2020,Counts,26
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/27/2021,Counts,102
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/27/2021,Counts,309
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/16/2021,Counts,2927
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/13/2021,Counts,82
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/03/2021,Counts,1368
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/18/2021,Counts,12
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/14/2021,Counts,15
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,03/20/2021,Counts,303
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,10/03/2020,Counts,634
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/08/2021,Counts,708
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/26/2020,Counts,258
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/30/2021,Counts,253
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,04/17/2021,Counts,1077
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/09/2021,Counts,3446
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/19/2020,Counts,269
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/20/2021,Counts,726
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,08/28/2021,Counts,513
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/26/2021,Counts,18
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/04/2021,Counts,2015
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,11/28/2020,Counts,1148
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/31/2021,Counts,93
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,01/23/2021,Counts,77
2021,Race/Ethnicity,Overall,Non-Hispanic A/PI,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/24/2021,Counts,64
2021,Race/Ethnicity,Overall,Multiracial,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/15/2021,Counts,14
2021,Race/Ethnicity,Overall,Non-Hispanic AI/AN,Overall,N/A,N/A,N/A,N/A,N/A,Week,06/19/2021,Counts,10
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,02/06/2021,Counts,598
2021,Race/Ethnicity,Overall,Hispanic or Latino,Overall,N/A,N/A,N/A,N/A,N/A,Week,07/03/2021,Counts,102
2021,Race/Ethnicity,Overall,Unknown,Overall,N/A,N/A,N/A,N/A,N/A,Week,12/12/2020,Counts,250
2021,Race/Ethnicity,Overall,Non-Hispanic Black,Overall,N/A,N/A,N/A,N/A,N/A,Week,05/29/2021,Counts,359
2021,Race/Ethnicity,Overall,Non-Hispanic White,Overall,N/A,N/A,N/A,N/A,N/A,Week,09/25/2021,Counts,1680
