"","week","date","age_group","risk_group","coverage","prop_up_to_date_sim_period","perc_up_to_date_week"
"73",35,2024-03-02,"65-74 years","healthy",0.480337078651685,0.106741573033708,0.480337078651685
"74",36,2024-03-09,"65-74 years","healthy",0.960674157303371,0.106741573033708,0.480337078651685
"75",37,2024-03-16,"65-74 years","healthy",1.44101123595506,0.106741573033708,0.480337078651685
"76",38,2024-03-23,"65-74 years","healthy",1.92134831460674,0.106741573033708,0.480337078651686
"77",39,2024-03-30,"65-74 years","healthy",2.11348314606742,0.0426966292134831,0.192134831460674
"78",40,2024-04-06,"65-74 years","healthy",2.30561797752809,0.0426966292134831,0.192134831460674
"79",41,2024-04-13,"65-74 years","healthy",2.49775280898876,0.0426966292134831,0.192134831460674
"80",42,2024-04-20,"65-74 years","healthy",2.68988764044944,0.0426966292134832,0.192134831460675
"81",43,2024-04-27,"65-74 years","healthy",2.88202247191011,0.0426966292134831,0.192134831460674
"82",44,2024-05-04,"65-74 years","healthy",3.08426966292135,0.044943820224719,0.202247191011236
"83",45,2024-05-11,"65-74 years","healthy",3.28651685393258,0.0449438202247191,0.202247191011236
"84",46,2024-05-18,"65-74 years","healthy",3.48876404494382,0.0449438202247191,0.202247191011236
"85",47,2024-05-25,"65-74 years","healthy",3.69101123595506,0.044943820224719,0.202247191011236
"86",48,2024-06-01,"65-74 years","healthy",3.85280898876405,0.0359550561797753,0.161797752808989
"87",49,2024-06-08,"65-74 years","healthy",4.01460674157303,0.0359550561797753,0.161797752808988
"88",50,2024-06-15,"65-74 years","healthy",4.17640449438202,0.0359550561797752,0.161797752808988
"89",51,2024-06-22,"65-74 years","healthy",4.33820224719101,0.0359550561797753,0.161797752808989
"90",52,2024-06-29,"65-74 years","healthy",4.5,0.0359550561797753,0.161797752808988
"91",35,2024-03-02,"75+ years","healthy",0.480337078651685,0.106741573033708,0.480337078651685
"92",36,2024-03-09,"75+ years","healthy",0.960674157303371,0.106741573033708,0.480337078651685
"93",37,2024-03-16,"75+ years","healthy",1.44101123595506,0.106741573033708,0.480337078651685
"94",38,2024-03-23,"75+ years","healthy",1.92134831460674,0.106741573033708,0.480337078651686
"95",39,2024-03-30,"75+ years","healthy",2.11348314606742,0.0426966292134831,0.192134831460674
"96",40,2024-04-06,"75+ years","healthy",2.30561797752809,0.0426966292134831,0.192134831460674
"97",41,2024-04-13,"75+ years","healthy",2.49775280898876,0.0426966292134831,0.192134831460674
"98",42,2024-04-20,"75+ years","healthy",2.68988764044944,0.0426966292134832,0.192134831460675
"99",43,2024-04-27,"75+ years","healthy",2.88202247191011,0.0426966292134831,0.192134831460674
"100",44,2024-05-04,"75+ years","healthy",3.08426966292135,0.044943820224719,0.202247191011236
"101",45,2024-05-11,"75+ years","healthy",3.28651685393258,0.0449438202247191,0.202247191011236
"102",46,2024-05-18,"75+ years","healthy",3.48876404494382,0.0449438202247191,0.202247191011236
"103",47,2024-05-25,"75+ years","healthy",3.69101123595506,0.044943820224719,0.202247191011236
"104",48,2024-06-01,"75+ years","healthy",3.85280898876405,0.0359550561797753,0.161797752808989
"105",49,2024-06-08,"75+ years","healthy",4.01460674157303,0.0359550561797753,0.161797752808988
"106",50,2024-06-15,"75+ years","healthy",4.17640449438202,0.0359550561797752,0.161797752808988
"107",51,2024-06-22,"75+ years","healthy",4.33820224719101,0.0359550561797753,0.161797752808989
"108",52,2024-06-29,"75+ years","healthy",4.5,0.0359550561797753,0.161797752808988
"109",35,2024-03-02,"0-17 years","immunocompromised",0,0,0
"110",36,2024-03-09,"0-17 years","immunocompromised",0,0,0
"111",37,2024-03-16,"0-17 years","immunocompromised",0,0,0
"112",38,2024-03-23,"0-17 years","immunocompromised",0,0,0
"113",39,2024-03-30,"0-17 years","immunocompromised",0,0,0
"114",40,2024-04-06,"0-17 years","immunocompromised",0,0,0
"115",41,2024-04-13,"0-17 years","immunocompromised",0,0,0
"116",42,2024-04-20,"0-17 years","immunocompromised",0,0,0
"117",43,2024-04-27,"0-17 years","immunocompromised",0,0,0
"118",44,2024-05-04,"0-17 years","immunocompromised",0,0,0
"119",45,2024-05-11,"0-17 years","immunocompromised",0,0,0
"120",46,2024-05-18,"0-17 years","immunocompromised",0,0,0
"121",47,2024-05-25,"0-17 years","immunocompromised",0,0,0
"122",48,2024-06-01,"0-17 years","immunocompromised",0,0,0
"123",49,2024-06-08,"0-17 years","immunocompromised",0,0,0
"124",50,2024-06-15,"0-17 years","immunocompromised",0,0,0
"125",51,2024-06-22,"0-17 years","immunocompromised",0,0,0
"126",52,2024-06-29,"0-17 years","immunocompromised",0,0,0
"127",35,2024-03-02,"18-29 years","immunocompromised",0.3125,0.115740740740741,0.3125
"128",36,2024-03-09,"18-29 years","immunocompromised",0.625,0.115740740740741,0.3125
"129",37,2024-03-16,"18-29 years","immunocompromised",0.9375,0.115740740740741,0.3125
"130",38,2024-03-23,"18-29 years","immunocompromised",1.25,0.115740740740741,0.3125
"131",39,2024-03-30,"18-29 years","immunocompromised",1.33,0.0296296296296297,0.0800000000000001
"132",40,2024-04-06,"18-29 years","immunocompromised",1.41,0.0296296296296296,0.0799999999999998
"133",41,2024-04-13,"18-29 years","immunocompromised",1.49,0.0296296296296297,0.0800000000000003
"134",42,2024-04-20,"18-29 years","immunocompromised",1.57,0.0296296296296296,0.0799999999999996
"135",43,2024-04-27,"18-29 years","immunocompromised",1.65,0.0296296296296297,0.0800000000000001
"136",44,2024-05-04,"18-29 years","immunocompromised",1.8,0.0555555555555555,0.15
"137",45,2024-05-11,"18-29 years","immunocompromised",1.95,0.0555555555555556,0.150000000000001
"138",46,2024-05-18,"18-29 years","immunocompromised",2.1,0.0555555555555556,0.15
"139",47,2024-05-25,"18-29 years","immunocompromised",2.25,0.0555555555555555,0.15
"140",48,2024-06-01,"18-29 years","immunocompromised",2.34,0.0333333333333333,0.0899999999999999
"141",49,2024-06-08,"18-29 years","immunocompromised",2.43,0.0333333333333334,0.0900000000000003
"142",50,2024-06-15,"18-29 years","immunocompromised",2.52,0.0333333333333333,0.0899999999999999
"143",51,2024-06-22,"18-29 years","immunocompromised",2.61,0.0333333333333334,0.0900000000000003
"144",52,2024-06-29,"18-29 years","immunocompromised",2.7,0.0333333333333333,0.0899999999999999
"145",35,2024-03-02,"30-49 years","immunocompromised",0.3125,0.115740740740741,0.3125
"146",36,2024-03-09,"30-49 years","immunocompromised",0.625,0.115740740740741,0.3125
"147",37,2024-03-16,"30-49 years","immunocompromised",0.9375,0.115740740740741,0.3125
"148",38,2024-03-23,"30-49 years","immunocompromised",1.25,0.115740740740741,0.3125
"149",39,2024-03-30,"30-49 years","immunocompromised",1.33,0.0296296296296297,0.0800000000000001
"150",40,2024-04-06,"30-49 years","immunocompromised",1.41,0.0296296296296296,0.0799999999999998
"151",41,2024-04-13,"30-49 years","immunocompromised",1.49,0.0296296296296297,0.0800000000000003
"152",42,2024-04-20,"30-49 years","immunocompromised",1.57,0.0296296296296296,0.0799999999999996
"153",43,2024-04-27,"30-49 years","immunocompromised",1.65,0.0296296296296297,0.0800000000000001
"154",44,2024-05-04,"30-49 years","immunocompromised",1.8,0.0555555555555555,0.15
"155",45,2024-05-11,"30-49 years","immunocompromised",1.95,0.0555555555555556,0.150000000000001
"156",46,2024-05-18,"30-49 years","immunocompromised",2.1,0.0555555555555556,0.15
"157",47,2024-05-25,"30-49 years","immunocompromised",2.25,0.0555555555555555,0.15
"158",48,2024-06-01,"30-49 years","immunocompromised",2.34,0.0333333333333333,0.0899999999999999
"159",49,2024-06-08,"30-49 years","immunocompromised",2.43,0.0333333333333334,0.0900000000000003
"160",50,2024-06-15,"30-49 years","immunocompromised",2.52,0.0333333333333333,0.0899999999999999
"161",51,2024-06-22,"30-49 years","immunocompromised",2.61,0.0333333333333334,0.0900000000000003
"162",52,2024-06-29,"30-49 years","immunocompromised",2.7,0.0333333333333333,0.0899999999999999
"163",35,2024-03-02,"50-64 years","immunocompromised",0.3125,0.115740740740741,0.3125
"164",36,2024-03-09,"50-64 years","immunocompromised",0.625,0.115740740740741,0.3125
"165",37,2024-03-16,"50-64 years","immunocompromised",0.9375,0.115740740740741,0.3125
"166",38,2024-03-23,"50-64 years","immunocompromised",1.25,0.115740740740741,0.3125
"167",39,2024-03-30,"50-64 years","immunocompromised",1.33,0.0296296296296297,0.0800000000000001
"168",40,2024-04-06,"50-64 years","immunocompromised",1.41,0.0296296296296296,0.0799999999999998
"169",41,2024-04-13,"50-64 years","immunocompromised",1.49,0.0296296296296297,0.0800000000000003
"170",42,2024-04-20,"50-64 years","immunocompromised",1.57,0.0296296296296296,0.0799999999999996
"171",43,2024-04-27,"50-64 years","immunocompromised",1.65,0.0296296296296297,0.0800000000000001
"172",44,2024-05-04,"50-64 years","immunocompromised",1.8,0.0555555555555555,0.15
"173",45,2024-05-11,"50-64 years","immunocompromised",1.95,0.0555555555555556,0.150000000000001
"174",46,2024-05-18,"50-64 years","immunocompromised",2.1,0.0555555555555556,0.15
"175",47,2024-05-25,"50-64 years","immunocompromised",2.25,0.0555555555555555,0.15
"176",48,2024-06-01,"50-64 years","immunocompromised",2.34,0.0333333333333333,0.0899999999999999
"177",49,2024-06-08,"50-64 years","immunocompromised",2.43,0.0333333333333334,0.0900000000000003
"178",50,2024-06-15,"50-64 years","immunocompromised",2.52,0.0333333333333333,0.0899999999999999
"179",51,2024-06-22,"50-64 years","immunocompromised",2.61,0.0333333333333334,0.0900000000000003
"180",52,2024-06-29,"50-64 years","immunocompromised",2.7,0.0333333333333333,0.0899999999999999
"181",35,2024-03-02,"65-74 years","immunocompromised",0.480337078651685,0.106741573033708,0.480337078651685
"182",36,2024-03-09,"65-74 years","immunocompromised",0.960674157303371,0.106741573033708,0.480337078651685
"183",37,2024-03-16,"65-74 years","immunocompromised",1.44101123595506,0.106741573033708,0.480337078651685
"184",38,2024-03-23,"65-74 years","immunocompromised",1.92134831460674,0.106741573033708,0.480337078651686
"185",39,2024-03-30,"65-74 years","immunocompromised",2.11348314606742,0.0426966292134831,0.192134831460674
"186",40,2024-04-06,"65-74 years","immunocompromised",2.30561797752809,0.0426966292134831,0.192134831460674
"187",41,2024-04-13,"65-74 years","immunocompromised",2.49775280898876,0.0426966292134831,0.192134831460674
"188",42,2024-04-20,"65-74 years","immunocompromised",2.68988764044944,0.0426966292134832,0.192134831460675
"189",43,2024-04-27,"65-74 years","immunocompromised",2.88202247191011,0.0426966292134831,0.192134831460674
"190",44,2024-05-04,"65-74 years","immunocompromised",3.08426966292135,0.044943820224719,0.202247191011236
"191",45,2024-05-11,"65-74 years","immunocompromised",3.28651685393258,0.0449438202247191,0.202247191011236
"192",46,2024-05-18,"65-74 years","immunocompromised",3.48876404494382,0.0449438202247191,0.202247191011236
"193",47,2024-05-25,"65-74 years","immunocompromised",3.69101123595506,0.044943820224719,0.202247191011236
"194",48,2024-06-01,"65-74 years","immunocompromised",3.85280898876405,0.0359550561797753,0.161797752808989
"195",49,2024-06-08,"65-74 years","immunocompromised",4.01460674157303,0.0359550561797753,0.161797752808988
"196",50,2024-06-15,"65-74 years","immunocompromised",4.17640449438202,0.0359550561797752,0.161797752808988
"197",51,2024-06-22,"65-74 years","immunocompromised",4.33820224719101,0.0359550561797753,0.161797752808989
"198",52,2024-06-29,"65-74 years","immunocompromised",4.5,0.0359550561797753,0.161797752808988
"199",35,2024-03-02,"75+ years","immunocompromised",0.480337078651685,0.106741573033708,0.480337078651685
"200",36,2024-03-09,"75+ years","immunocompromised",0.960674157303371,0.106741573033708,0.480337078651685
"201",37,2024-03-16,"75+ years","immunocompromised",1.44101123595506,0.106741573033708,0.480337078651685
"202",38,2024-03-23,"75+ years","immunocompromised",1.92134831460674,0.106741573033708,0.480337078651686
"203",39,2024-03-30,"75+ years","immunocompromised",2.11348314606742,0.0426966292134831,0.192134831460674
"204",40,2024-04-06,"75+ years","immunocompromised",2.30561797752809,0.0426966292134831,0.192134831460674
"205",41,2024-04-13,"75+ years","immunocompromised",2.49775280898876,0.0426966292134831,0.192134831460674
"206",42,2024-04-20,"75+ years","immunocompromised",2.68988764044944,0.0426966292134832,0.192134831460675
"207",43,2024-04-27,"75+ years","immunocompromised",2.88202247191011,0.0426966292134831,0.192134831460674
"208",44,2024-05-04,"75+ years","immunocompromised",3.08426966292135,0.044943820224719,0.202247191011236
"209",45,2024-05-11,"75+ years","immunocompromised",3.28651685393258,0.0449438202247191,0.202247191011236
"210",46,2024-05-18,"75+ years","immunocompromised",3.48876404494382,0.0449438202247191,0.202247191011236
"211",47,2024-05-25,"75+ years","immunocompromised",3.69101123595506,0.044943820224719,0.202247191011236
"212",48,2024-06-01,"75+ years","immunocompromised",3.85280898876405,0.0359550561797753,0.161797752808989
"213",49,2024-06-08,"75+ years","immunocompromised",4.01460674157303,0.0359550561797753,0.161797752808988
"214",50,2024-06-15,"75+ years","immunocompromised",4.17640449438202,0.0359550561797752,0.161797752808988
"215",51,2024-06-22,"75+ years","immunocompromised",4.33820224719101,0.0359550561797753,0.161797752808989
"216",52,2024-06-29,"75+ years","immunocompromised",4.5,0.0359550561797753,0.161797752808988
"217",35,2024-03-02,"0-17 years","higher risk",0,0,0
"218",36,2024-03-09,"0-17 years","higher risk",0,0,0
"219",37,2024-03-16,"0-17 years","higher risk",0,0,0
"220",38,2024-03-23,"0-17 years","higher risk",0,0,0
"221",39,2024-03-30,"0-17 years","higher risk",0,0,0
"222",40,2024-04-06,"0-17 years","higher risk",0,0,0
"223",41,2024-04-13,"0-17 years","higher risk",0,0,0
"224",42,2024-04-20,"0-17 years","higher risk",0,0,0
"225",43,2024-04-27,"0-17 years","higher risk",0,0,0
"226",44,2024-05-04,"0-17 years","higher risk",0,0,0
"227",45,2024-05-11,"0-17 years","higher risk",0,0,0
"228",46,2024-05-18,"0-17 years","higher risk",0,0,0
"229",47,2024-05-25,"0-17 years","higher risk",0,0,0
"230",48,2024-06-01,"0-17 years","higher risk",0,0,0
"231",49,2024-06-08,"0-17 years","higher risk",0,0,0
"232",50,2024-06-15,"0-17 years","higher risk",0,0,0
"233",51,2024-06-22,"0-17 years","higher risk",0,0,0
"234",52,2024-06-29,"0-17 years","higher risk",0,0,0
"235",35,2024-03-02,"18-29 years","higher risk",0.3125,0.115740740740741,0.3125
"236",36,2024-03-09,"18-29 years","higher risk",0.625,0.115740740740741,0.3125
"237",37,2024-03-16,"18-29 years","higher risk",0.9375,0.115740740740741,0.3125
"238",38,2024-03-23,"18-29 years","higher risk",1.25,0.115740740740741,0.3125
"239",39,2024-03-30,"18-29 years","higher risk",1.33,0.0296296296296297,0.0800000000000001
"240",40,2024-04-06,"18-29 years","higher risk",1.41,0.0296296296296296,0.0799999999999998
"241",41,2024-04-13,"18-29 years","higher risk",1.49,0.0296296296296297,0.0800000000000003
"242",42,2024-04-20,"18-29 years","higher risk",1.57,0.0296296296296296,0.0799999999999996
"243",43,2024-04-27,"18-29 years","higher risk",1.65,0.0296296296296297,0.0800000000000001
"244",44,2024-05-04,"18-29 years","higher risk",1.8,0.0555555555555555,0.15
"245",45,2024-05-11,"18-29 years","higher risk",1.95,0.0555555555555556,0.150000000000001
"246",46,2024-05-18,"18-29 years","higher risk",2.1,0.0555555555555556,0.15
"247",47,2024-05-25,"18-29 years","higher risk",2.25,0.0555555555555555,0.15
"248",48,2024-06-01,"18-29 years","higher risk",2.34,0.0333333333333333,0.0899999999999999
"249",49,2024-06-08,"18-29 years","higher risk",2.43,0.0333333333333334,0.0900000000000003
"250",50,2024-06-15,"18-29 years","higher risk",2.52,0.0333333333333333,0.0899999999999999
"251",51,2024-06-22,"18-29 years","higher risk",2.61,0.0333333333333334,0.0900000000000003
"252",52,2024-06-29,"18-29 years","higher risk",2.7,0.0333333333333333,0.0899999999999999
"253",35,2024-03-02,"30-49 years","higher risk",0.3125,0.115740740740741,0.3125
"254",36,2024-03-09,"30-49 years","higher risk",0.625,0.115740740740741,0.3125
"255",37,2024-03-16,"30-49 years","higher risk",0.9375,0.115740740740741,0.3125
"256",38,2024-03-23,"30-49 years","higher risk",1.25,0.115740740740741,0.3125
"257",39,2024-03-30,"30-49 years","higher risk",1.33,0.0296296296296297,0.0800000000000001
"258",40,2024-04-06,"30-49 years","higher risk",1.41,0.0296296296296296,0.0799999999999998
"259",41,2024-04-13,"30-49 years","higher risk",1.49,0.0296296296296297,0.0800000000000003
"260",42,2024-04-20,"30-49 years","higher risk",1.57,0.0296296296296296,0.0799999999999996
"261",43,2024-04-27,"30-49 years","higher risk",1.65,0.0296296296296297,0.0800000000000001
"262",44,2024-05-04,"30-49 years","higher risk",1.8,0.0555555555555555,0.15
"263",45,2024-05-11,"30-49 years","higher risk",1.95,0.0555555555555556,0.150000000000001
"264",46,2024-05-18,"30-49 years","higher risk",2.1,0.0555555555555556,0.15
"265",47,2024-05-25,"30-49 years","higher risk",2.25,0.0555555555555555,0.15
"266",48,2024-06-01,"30-49 years","higher risk",2.34,0.0333333333333333,0.0899999999999999
"267",49,2024-06-08,"30-49 years","higher risk",2.43,0.0333333333333334,0.0900000000000003
"268",50,2024-06-15,"30-49 years","higher risk",2.52,0.0333333333333333,0.0899999999999999
"269",51,2024-06-22,"30-49 years","higher risk",2.61,0.0333333333333334,0.0900000000000003
"270",52,2024-06-29,"30-49 years","higher risk",2.7,0.0333333333333333,0.0899999999999999
"271",35,2024-03-02,"50-64 years","higher risk",0.3125,0.115740740740741,0.3125
"272",36,2024-03-09,"50-64 years","higher risk",0.625,0.115740740740741,0.3125
"273",37,2024-03-16,"50-64 years","higher risk",0.9375,0.115740740740741,0.3125
"274",38,2024-03-23,"50-64 years","higher risk",1.25,0.115740740740741,0.3125
"275",39,2024-03-30,"50-64 years","higher risk",1.33,0.0296296296296297,0.0800000000000001
"276",40,2024-04-06,"50-64 years","higher risk",1.41,0.0296296296296296,0.0799999999999998
"277",41,2024-04-13,"50-64 years","higher risk",1.49,0.0296296296296297,0.0800000000000003
"278",42,2024-04-20,"50-64 years","higher risk",1.57,0.0296296296296296,0.0799999999999996
"279",43,2024-04-27,"50-64 years","higher risk",1.65,0.0296296296296297,0.0800000000000001
"280",44,2024-05-04,"50-64 years","higher risk",1.8,0.0555555555555555,0.15
"281",45,2024-05-11,"50-64 years","higher risk",1.95,0.0555555555555556,0.150000000000001
"282",46,2024-05-18,"50-64 years","higher risk",2.1,0.0555555555555556,0.15
"283",47,2024-05-25,"50-64 years","higher risk",2.25,0.0555555555555555,0.15
"284",48,2024-06-01,"50-64 years","higher risk",2.34,0.0333333333333333,0.0899999999999999
"285",49,2024-06-08,"50-64 years","higher risk",2.43,0.0333333333333334,0.0900000000000003
"286",50,2024-06-15,"50-64 years","higher risk",2.52,0.0333333333333333,0.0899999999999999
"287",51,2024-06-22,"50-64 years","higher risk",2.61,0.0333333333333334,0.0900000000000003
"288",52,2024-06-29,"50-64 years","higher risk",2.7,0.0333333333333333,0.0899999999999999
"289",35,2024-03-02,"65-74 years","higher risk",0.480337078651685,0.106741573033708,0.480337078651685
"290",36,2024-03-09,"65-74 years","higher risk",0.960674157303371,0.106741573033708,0.480337078651685
"291",37,2024-03-16,"65-74 years","higher risk",1.44101123595506,0.106741573033708,0.480337078651685
"292",38,2024-03-23,"65-74 years","higher risk",1.92134831460674,0.106741573033708,0.480337078651686
"293",39,2024-03-30,"65-74 years","higher risk",2.11348314606742,0.0426966292134831,0.192134831460674
"294",40,2024-04-06,"65-74 years","higher risk",2.30561797752809,0.0426966292134831,0.192134831460674
"295",41,2024-04-13,"65-74 years","higher risk",2.49775280898876,0.0426966292134831,0.192134831460674
"296",42,2024-04-20,"65-74 years","higher risk",2.68988764044944,0.0426966292134832,0.192134831460675
"297",43,2024-04-27,"65-74 years","higher risk",2.88202247191011,0.0426966292134831,0.192134831460674
"298",44,2024-05-04,"65-74 years","higher risk",3.08426966292135,0.044943820224719,0.202247191011236
"299",45,2024-05-11,"65-74 years","higher risk",3.28651685393258,0.0449438202247191,0.202247191011236
"300",46,2024-05-18,"65-74 years","higher risk",3.48876404494382,0.0449438202247191,0.202247191011236
"301",47,2024-05-25,"65-74 years","higher risk",3.69101123595506,0.044943820224719,0.202247191011236
"302",48,2024-06-01,"65-74 years","higher risk",3.85280898876405,0.0359550561797753,0.161797752808989
"303",49,2024-06-08,"65-74 years","higher risk",4.01460674157303,0.0359550561797753,0.161797752808988
"304",50,2024-06-15,"65-74 years","higher risk",4.17640449438202,0.0359550561797752,0.161797752808988
"305",51,2024-06-22,"65-74 years","higher risk",4.33820224719101,0.0359550561797753,0.161797752808989
"306",52,2024-06-29,"65-74 years","higher risk",4.5,0.0359550561797753,0.161797752808988
"307",35,2024-03-02,"75+ years","higher risk",0.480337078651685,0.106741573033708,0.480337078651685
"308",36,2024-03-09,"75+ years","higher risk",0.960674157303371,0.106741573033708,0.480337078651685
"309",37,2024-03-16,"75+ years","higher risk",1.44101123595506,0.106741573033708,0.480337078651685
"310",38,2024-03-23,"75+ years","higher risk",1.92134831460674,0.106741573033708,0.480337078651686
"311",39,2024-03-30,"75+ years","higher risk",2.11348314606742,0.0426966292134831,0.192134831460674
"312",40,2024-04-06,"75+ years","higher risk",2.30561797752809,0.0426966292134831,0.192134831460674
"313",41,2024-04-13,"75+ years","higher risk",2.49775280898876,0.0426966292134831,0.192134831460674
"314",42,2024-04-20,"75+ years","higher risk",2.68988764044944,0.0426966292134832,0.192134831460675
"315",43,2024-04-27,"75+ years","higher risk",2.88202247191011,0.0426966292134831,0.192134831460674
"316",44,2024-05-04,"75+ years","higher risk",3.08426966292135,0.044943820224719,0.202247191011236
"317",45,2024-05-11,"75+ years","higher risk",3.28651685393258,0.0449438202247191,0.202247191011236
"318",46,2024-05-18,"75+ years","higher risk",3.48876404494382,0.0449438202247191,0.202247191011236
"319",47,2024-05-25,"75+ years","higher risk",3.69101123595506,0.044943820224719,0.202247191011236
"320",48,2024-06-01,"75+ years","higher risk",3.85280898876405,0.0359550561797753,0.161797752808989
"321",49,2024-06-08,"75+ years","higher risk",4.01460674157303,0.0359550561797753,0.161797752808988
"322",50,2024-06-15,"75+ years","higher risk",4.17640449438202,0.0359550561797752,0.161797752808988
"323",51,2024-06-22,"75+ years","higher risk",4.33820224719101,0.0359550561797753,0.161797752808989
"324",52,2024-06-29,"75+ years","higher risk",4.5,0.0359550561797753,0.161797752808988
